Object Tracking Data File Wed, Mar 02, 2022 11:35 AM
X (pixels)  	Y (pixels)  
206.46	153.50
207.66	150.60
206.75	152.08
206.54	151.02
203.54	151.35
201.28	154.90
199.38	154.21
199.45	149.60
201.92	150.54
199.30	153.34
201.35	154.13
198.05	157.48
198.10	157.84
196.13	153.37
196.23	150.63
196.02	154.95
192.75	151.75
193.92	151.26
197.28	147.80
197.30	150.26
198.93	152.19
197.88	150.86
197.67	154.67
200.68	151.17
200.82	148.36
201.36	146.82
199.99	147.76
202.53	150.25
207.50	151.43
205.75	147.83
204.64	149.38
199.24	151.91
198.68	153.20
202.02	154.01
203.52	154.29
204.98	152.15
203.86	153.77
195.45	150.20
194.66	149.47
191.16	152.74
193.85	157.87
197.13	154.90
193.77	154.56
196.75	153.94
198.61	150.35
201.71	148.91
198.10	145.65
203.42	140.96
200.85	143.12
199.72	141.40
202.46	142.90
201.06	141.54
205.69	141.50
200.59	144.16
203.87	144.55
206.65	145.13
206.71	145.34
209.52	137.82
215.09	139.64
217.97	138.88
215.49	142.16
213.51	142.88
210.93	143.09
214.20	146.36
214.67	144.50
215.79	144.34
214.98	140.56
216.97	142.42
222.69	137.04
226.56	135.12
228.13	134.57
227.18	133.53
222.11	133.81
223.07	130.34
225.22	126.62
220.65	125.06
219.12	124.19
214.45	124.38
211.20	123.71
212.07	125.51
213.21	120.24
215.11	115.20
211.62	118.19
211.79	116.56
211.81	114.04
213.39	116.19
215.77	115.25
217.89	115.82
224.14	112.71
228.76	107.83
227.91	112.69
230.10	115.76
231.36	115.63
233.81	115.72
230.45	120.47
229.95	123.11
230.53	118.73
231.04	119.62
226.87	122.23
225.40	122.66
225.87	121.06
225.23	122.43
224.85	122.53
219.60	128.06
219.03	125.74
219.95	128.34
220.22	129.09
219.66	127.70
223.28	132.35
224.37	130.69
222.56	126.51
223.86	132.09
220.55	130.75
219.47	130.03
219.16	137.51
217.00	136.83
215.50	139.58
219.31	139.69
216.87	139.75
212.73	137.29
